,county_state,Wiki Link 1,Wiki Link 2,Demogs Link 1,Demogs Link 2
76,Riverside California,"https://en.wikipedia.org/wiki/Riverside,_California",,https://worldpopulationreview.com/us-cities/riverside-population/,
77,Santa Cruz California,"https://en.wikipedia.org/wiki/Santa_Cruz,_California",,https://worldpopulationreview.com/us-cities/santa-cruz-population/,
78,District of Columbia District of Columbia,"https://en.wikipedia.org/wiki/Washington,_D.C.",,https://worldpopulationreview.com/states/district-of-columbia-population/,
79,Charlotte Florida,"https://en.wikipedia.org/wiki/Charlotte_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/charlotte-county-population/,
80,Okaloosa Florida,"https://en.wikipedia.org/wiki/Okaloosa_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/okaloosa-county-population/,
81,Volusia Florida,"https://en.wikipedia.org/wiki/Volusia_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/volusia-county-population/,
82,Cobb Georgia,"https://en.wikipedia.org/wiki/Cobb_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/cobb-county-population/,
83,Gwinnett Georgia,"https://en.wikipedia.org/wiki/Gwinnett_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/gwinnett-county-population/,
84,Johnson Kansas,"https://en.wikipedia.org/wiki/Johnson_County,_Kansas",,https://worldpopulationreview.com/states/kansas-population/,
85,Berkshire Massachusetts,"https://en.wikipedia.org/wiki/Berkshire_County,_Massachusetts",,https://worldpopulationreview.com/us-counties/ma/berkshire-county-population/,
86,St. Louis Missouri,https://en.wikipedia.org/wiki/St._Louis,,https://worldpopulationreview.com/us-cities/st-louis-population/,
87,Rockingham New Hampshire,"https://en.wikipedia.org/wiki/Rockingham_County,_New_Hampshire",,https://worldpopulationreview.com/us-counties/nh/rockingham-county-population/,
88,Saratoga New York,"https://en.wikipedia.org/wiki/Saratoga,_New_York",,https://worldpopulationreview.com/us-cities/saratoga-springs-ny-population/,
89,Jackson Oregon,"https://en.wikipedia.org/wiki/Jacksonville,_Oregon",,https://worldpopulationreview.com/us-counties/or/jackson-county-population/,
90,Klamath Oregon,"https://en.wikipedia.org/wiki/Klamath_Falls,_Oregon",,https://worldpopulationreview.com/us-cities/klamath-falls-or-population/,
91,Montgomery Pennsylvania,"https://en.wikipedia.org/wiki/Montgomery,_Pennsylvania",,https://worldpopulationreview.com/us-cities/montgomery-pa-population/,
92,Bennington Vermont,"https://en.wikipedia.org/wiki/Bennington,_Vermont",,https://worldpopulationreview.com/us-cities/bennington-vt-population/,
93,Fairfax Virginia,"https://en.wikipedia.org/wiki/Fairfax,_Virginia",,https://worldpopulationreview.com/us-cities/fairfax-va-population/,
94,Kittitas Washington,"https://en.wikipedia.org/wiki/Kittitas,_Washington",,https://worldpopulationreview.com/us-cities/kittitas-wa-population/,
95,Fairfield Connecticut,"https://en.wikipedia.org/wiki/Fairfield,_Connecticut",,https://worldpopulationreview.com/us-counties/ct/fairfield-county-population/,
96,Cherokee Georgia,"https://en.wikipedia.org/wiki/Cherokee_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/cherokee-county-population/,
97,Hendricks Indiana,"https://en.wikipedia.org/wiki/Hendricks_County,_Indiana",,https://worldpopulationreview.com/us-counties/in/hendricks-county-population/,
98,Johnson Iowa,"https://en.wikipedia.org/wiki/Johnston,_Iowa",,https://worldpopulationreview.com/us-cities/johnston-ia-population/,
99,Harrison Kentucky,"https://en.wikipedia.org/wiki/Harrison_County,_Kentucky",,https://worldpopulationreview.com/us-counties/ky/harrison-county-population/,
100,Jefferson Kentucky,"https://en.wikipedia.org/wiki/Jefferson_County,_Kentucky",,https://worldpopulationreview.com/us-counties/ky/jefferson-county-population/,
101,Harford Maryland,"https://en.wikipedia.org/wiki/Harford_County,_Maryland",,https://worldpopulationreview.com/us-counties/md/harford-county-population/,
102,Worcester Massachusetts,"https://en.wikipedia.org/wiki/Worcester,_Massachusetts",,https://worldpopulationreview.com/us-cities/worcester-population/,
103,Carver Minnesota,"https://en.wikipedia.org/wiki/Carver,_Minnesota",,https://worldpopulationreview.com/us-cities/carver-mn-population/,
104,Passaic New Jersey,"https://en.wikipedia.org/wiki/Passaic,_New_Jersey",,https://worldpopulationreview.com/us-cities/passaic-nj-population/,
105,Suffolk New York,"https://en.wikipedia.org/wiki/Suffolk_County,_New_York",,https://worldpopulationreview.com/us-counties/ny/suffolk-county-population/,
106,Ulster New York,"https://en.wikipedia.org/wiki/Ulster_County,_New_York",,https://worldpopulationreview.com/us-counties/ny/ulster-county-population/,
107,Douglas Oregon,"https://en.wikipedia.org/wiki/Douglas_County,_Oregon",,https://worldpopulationreview.com/us-counties/or/douglas-county-population/,
108,Marion Oregon,"https://en.wikipedia.org/wiki/Marion,_Oregon",,https://worldpopulationreview.com/us-cities/marion-or-population/,
109,Spartanburg South Carolina,"https://en.wikipedia.org/wiki/Spartanburg,_South_Carolina",,https://worldpopulationreview.com/us-cities/spartanburg-sc-population/,
110,Davidson Tennessee,"https://en.wikipedia.org/wiki/Davidson_County,_Tennessee",,https://worldpopulationreview.com/us-counties/tn/davidson-county-population/,
111,Shelby Tennessee,"https://en.wikipedia.org/wiki/Shelby_County,_Tennessee",,https://worldpopulationreview.com/us-counties/tn/shelby-county-population/,
112,Kitsap Washington,"https://en.wikipedia.org/wiki/Kitsap_County,_Washington",,https://worldpopulationreview.com/us-counties/wa/kitsap-county-population/,
113,Pima Arizona,"https://en.wikipedia.org/wiki/Pima,_Arizona",,https://worldpopulationreview.com/us-cities/pima-az-population/,
114,Shasta California,"https://en.wikipedia.org/wiki/Shasta_County,_California",,https://worldpopulationreview.com/us-cities/mount-shasta-ca-population/,
115,Arapahoe Colorado,"https://en.wikipedia.org/wiki/Arapahoe_County,_Colorado",,https://worldpopulationreview.com/us-counties/co/arapahoe-county-population/,
116,Larimer Colorado,"https://en.wikipedia.org/wiki/Larimer_County,_Colorado",,https://worldpopulationreview.com/us-counties/co/larimer-county-population/,
117,DeKalb Georgia,"https://en.wikipedia.org/wiki/DeKalb_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/dekalb-county-population/,
118,Fayette Georgia,"https://en.wikipedia.org/wiki/Fayetteville,_Georgia",,https://worldpopulationreview.com/us-cities/fayetteville-ga-population/,
119,Floyd Georgia,"https://en.wikipedia.org/wiki/Floyd_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/floyd-county-population/,
120,Noble Indiana,"https://en.wikipedia.org/wiki/Noble_County,_Indiana",,https://worldpopulationreview.com/us-counties/in/noble-county-population/,
121,Pottawattamie Iowa,"https://en.wikipedia.org/wiki/Pottawattamie_County,_Iowa",,https://worldpopulationreview.com/us-counties/ia/pottawattamie-county-population/,
122,Jefferson Louisiana,"https://en.wikipedia.org/wiki/Jefferson,_Louisiana",,https://worldpopulationreview.com/us-cities/jefferson-la-population/,
123,Prince George's Maryland,"https://en.wikipedia.org/wiki/Prince_George%27s_County,_Maryland",,https://worldpopulationreview.com/us-counties/md/prince-george's-county-population/,
124,Hudson New Jersey,"https://en.wikipedia.org/wiki/Hudson_County,_New_Jersey",,https://worldpopulationreview.com/us-counties/nj/hudson-county-population/,
125,Monmouth New Jersey,"https://en.wikipedia.org/wiki/Monmouth_County,_New_Jersey",,https://worldpopulationreview.com/us-counties/nj/monmouth-county-population/,
126,Union New Jersey,"https://en.wikipedia.org/wiki/Union_Township,_Union_County,_New_Jersey",,https://worldpopulationreview.com/us-counties/nj/union-county-population/,
127,Cuyahoga Ohio,"https://en.wikipedia.org/wiki/Cuyahoga_County,_Ohio",,https://worldpopulationreview.com/us-counties/oh/cuyahoga-county-population/,
128,Monroe Pennsylvania,"https://en.wikipedia.org/wiki/Monroe,_Pennsylvania",,https://worldpopulationreview.com/us-counties/pa/monroe-county-population/,
129,Collin Texas,"https://en.wikipedia.org/wiki/Collin_County,_Texas",,https://worldpopulationreview.com/us-counties/tx/collin-county-population/,
130,Virginia Beach city Virginia,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",,https://worldpopulationreview.com/us-cities/virginia-beach-population/,
131,Pierce Wisconsin,"https://en.wikipedia.org/wiki/Pierce,_Wisconsin",,https://worldpopulationreview.com/us-counties/wi/pierce-county-population/,
132,San Joaquin California,"https://en.wikipedia.org/wiki/San_Joaquin,_California",,https://worldpopulationreview.com/us-counties/ca/san-joaquin-county-population/,
133,Ventura California,"https://en.wikipedia.org/wiki/Ventura,_California",,https://worldpopulationreview.com/us-cities/ventura-population/,
134,Gunnison Colorado,"https://en.wikipedia.org/wiki/Gunnison,_Colorado",,https://worldpopulationreview.com/us-cities/gunnison-co-population/,
135,Alachua Florida,"https://en.wikipedia.org/wiki/Alachua,_Florida",,https://worldpopulationreview.com/us-cities/alachua-fl-population/,
136,Collier Florida,"https://en.wikipedia.org/wiki/Collier_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/collier-county-population/,
137,Nassau Florida,"https://en.wikipedia.org/wiki/Nassau_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/nassau-county-population/,
138,Pasco Florida,"https://en.wikipedia.org/wiki/Pasco_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/pasco-county-population/,
139,Pinellas Florida,"https://en.wikipedia.org/wiki/Pinellas_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/pinellas-county-population/,
140,Charlton Georgia,"https://en.wikipedia.org/wiki/Charlton_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/charlton-county-population/,
141,Kane Illinois,"https://en.wikipedia.org/wiki/Kane_County,_Illinois",,https://worldpopulationreview.com/us-cities/kane-il-population/,
142,McHenry Illinois,"https://en.wikipedia.org/wiki/McHenry,_Illinois",,https://worldpopulationreview.com/us-cities/mchenry-il-population/,
143,Adams Indiana,"https://en.wikipedia.org/wiki/Adams_County,_Indiana",,https://worldpopulationreview.com/us-counties/in/adams-county-population/,
144,Boone Indiana,"https://en.wikipedia.org/wiki/Boone_County,_Indiana",,https://worldpopulationreview.com/us-counties/in/boone-county-population/,
145,Orleans Louisiana,https://en.wikipedia.org/wiki/Louisiana,,https://worldpopulationreview.com/us-cities/new-orleans-population/,
146,Essex Massachusetts,"https://en.wikipedia.org/wiki/Essex,_Massachusetts",,https://worldpopulationreview.com/us-cities/essex-ma-population/,
147,Oakland Michigan,"https://en.wikipedia.org/wiki/Oakland_County,_Michigan",,https://worldpopulationreview.com/us-counties/mi/oakland-county-population/,
148,Wayne Michigan,"https://en.wikipedia.org/wiki/Wayne,_Michigan",,https://worldpopulationreview.com/us-cities/wayne-mi-population/,
149,Anoka Minnesota,"https://en.wikipedia.org/wiki/Anoka,_Minnesota",,https://worldpopulationreview.com/us-cities/anoka-mn-population/,
150,Burlington New Jersey,"https://en.wikipedia.org/wiki/Burlington,_New_Jersey",,https://worldpopulationreview.com/us-cities/burlington-nj-population/,
151,Multnomah Oregon,"https://en.wikipedia.org/wiki/Multnomah_County,_Oregon",,https://worldpopulationreview.com/states/oregon-population/,
152,Philadelphia Pennsylvania,https://en.wikipedia.org/wiki/Philadelphia,,https://worldpopulationreview.com/us-cities/philadelphia-population/,
153,Beadle South Dakota,"https://en.wikipedia.org/wiki/Beadle_County,_South_Dakota",,https://worldpopulationreview.com/us-counties/sd/beadle-county-population/,
154,Charles Mix South Dakota,"https://en.wikipedia.org/wiki/Charles_Mix_County,_South_Dakota",,https://worldpopulationreview.com/us-counties/sd/charles-mix-county-population/,
155,Davison South Dakota,"https://en.wikipedia.org/wiki/Davison_County,_South_Dakota",,https://worldpopulationreview.com/us-counties/sd/davison-county-population/,
156,Minnehaha South Dakota,"https://en.wikipedia.org/wiki/Minnehaha_County,_South_Dakota",,https://worldpopulationreview.com/us-counties/sd/minnehaha-county-population/,
157,Sullivan Tennessee,"https://en.wikipedia.org/wiki/Sullivan_County,_Tennessee",,https://worldpopulationreview.com/us-counties/tn/sullivan-county-population/,
158,Dallas Texas,https://en.wikipedia.org/wiki/Dallas,,https://worldpopulationreview.com/us-cities/dallas-population/,
159,Montgomery Texas,"https://en.wikipedia.org/wiki/Montgomery,_Texas",,https://worldpopulationreview.com/us-cities/montgomery-tx-population/,
160,Tarrant Texas,"https://en.wikipedia.org/wiki/Tarrant_County,_Texas",,https://worldpopulationreview.com/us-counties/tx/tarrant-county-population/,
161,Weber Utah,"https://en.wikipedia.org/wiki/Weber_County,_Utah",,https://worldpopulationreview.com/us-counties/ut/weber-county-population/,
162,Loudoun Virginia,"https://en.wikipedia.org/wiki/Loudoun_County,_Virginia",,https://worldpopulationreview.com/us-counties/va/loudoun-county-population/,
163,Skagit Washington,"https://en.wikipedia.org/wiki/Skagit_County,_Washington",,https://worldpopulationreview.com/us-counties/wa/skagit-county-population/,
164,Whatcom Washington,"https://en.wikipedia.org/wiki/Whatcom_County,_Washington",,https://worldpopulationreview.com/us-counties/wa/whatcom-county-population/,
165,Jefferson Arkansas,"https://en.wikipedia.org/wiki/Jefferson_County,_Arkansas",,https://worldpopulationreview.com/us-counties/ar/jefferson-county-population/,
166,Stanislaus California,"https://en.wikipedia.org/wiki/Stanislaus_County,_California",,https://worldpopulationreview.com/us-counties/ca/stanislaus-county-population/,
167,Pitkin Colorado,"https://en.wikipedia.org/wiki/Pitkin,_Colorado",,https://worldpopulationreview.com/us-cities/pitkin-co-population/,
168,New Castle Delaware,"https://en.wikipedia.org/wiki/New_Castle,_Delaware",,https://worldpopulationreview.com/us-cities/new-castle-de-population/,
169,Miami-Dade Florida,"https://en.wikipedia.org/wiki/Miami-Dade_County,_Florida",,https://worldpopulationreview.com/us-counties/fl/miami-dade-county-population/,
170,St. Johns Florida,"https://en.wikipedia.org/wiki/St._Johns,_Florida",,https://worldpopulationreview.com/us-counties/fl/st-johns-county-population/,
171,Bartow Georgia,"https://en.wikipedia.org/wiki/Bartow_County,_Georgia",,https://worldpopulationreview.com/us-cities/bartow-ga-population/,
172,Lee Georgia,"https://en.wikipedia.org/wiki/Lee_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/lee-county-population/,
173,Lowndes Georgia,"https://en.wikipedia.org/wiki/Lowndes_County,_Georgia",,https://worldpopulationreview.com/us-counties/ga/lowndes-county-population/,
174,Lake Illinois,"https://en.wikipedia.org/wiki/Lake_County,_Illinois",,https://worldpopulationreview.com/us-counties/il/lake-county-population/,
175,Howard Indiana,"https://en.wikipedia.org/wiki/Howard,_Indiana",,https://worldpopulationreview.com/us-counties/in/howard-county-population/,
176,Johnson Indiana,"https://en.wikipedia.org/wiki/Johnson,_Indiana",,https://worldpopulationreview.com/us-counties/in/johnson-county-population/,
177,St. Joseph Indiana,"https://en.wikipedia.org/wiki/St._Joseph_County,_Indiana",,https://worldpopulationreview.com/us-counties/in/st-joseph-county-population/,
